[INFO] <2022-04-22; 12:27:31> Player Tracker Decoder App v1.5.5 - LOG FILE
   [INFO] <2022-04-22; 12:27:31> Initializing logger
   [INFO] <2022-04-22; 12:27:31> Logger successfully initialized
   [INFO] <2022-04-22; 12:27:31> Initializing primary systems
   [INFO] <2022-04-22; 12:27:31> Initializing settings subsystem
   [INFO] <2022-04-22; 12:27:31> Fetching and parsing settings from config file
   [INFO] <2022-04-22; 12:27:31> Settings: 12
   [INFO] <2022-04-22; 12:27:31> 0
   [INFO] <2022-04-22; 12:27:31> true
   [INFO] <2022-04-22; 12:27:31> 0
   [INFO] <2022-04-22; 12:27:31> true
   [INFO] <2022-04-22; 12:27:31> 5.0
   [INFO] <2022-04-22; 12:27:31> true
   [INFO] <2022-04-22; 12:27:31> LINE
   [INFO] <2022-04-22; 12:27:31> 260
   [INFO] <2022-04-22; 12:27:31> false
   [INFO] <2022-04-22; 12:27:31> false
   [INFO] <2022-04-22; 12:27:31> false
   [INFO] <2022-04-22; 12:27:31> Successfully fetched and parsed settings from config file
   [INFO] <2022-04-22; 12:27:31> Successfully initialized settings subsystem
   [INFO] <2022-04-22; 12:27:31> Initializing decoder subsystem
   [INFO] <2022-04-22; 12:27:31> Successfully initialized decoder subsystem
   [INFO] <2022-04-22; 12:27:31> Initializing primary frame subsystem
   [INFO] <2022-04-22; 12:27:31> Initializing main display subsystem
   [INFO] <2022-04-22; 12:27:31> Successfully initialized main display subsystem
   [INFO] <2022-04-22; 12:27:31> Successfully initialized primary frame subsystem
   [INFO] <2022-04-22; 12:27:32> Successfully initialized all subsystems
   [INFO] <2022-04-22; 12:28:16> Decoding process started
   [INFO] <2022-04-22; 12:28:16> Decoding data
   [INFO] <2022-04-22; 12:28:16> Fetched and indexed input file
   [INFO] <2022-04-22; 12:28:16> maxX: 262 minX: -19; maxY: 0 minY: -195
   [INFO] <2022-04-22; 12:28:16> xRange: 281 yRange: 195
   [INFO] <2022-04-22; 12:28:16> Successfully decoded data
   [INFO] <2022-04-22; 12:28:16> Setting data to display
   [INFO] <2022-04-22; 12:28:16> Successfully set data to display
   [INFO] <2022-04-22; 12:28:16> Updating points
   [INFO] <2022-04-22; 12:28:16> Updated points: 27
   [INFO] <2022-04-22; 12:28:16> Decoding process finished successfully
   [INFO] <2022-04-22; 12:28:16> Initializing toolbar subsystem
   [INFO] <2022-04-22; 12:28:16> Successfully initialized toolbar subsystem
   [INFO] <2022-04-22; 12:28:16> Selected files: 1
   [INFO] <2022-04-22; 12:28:16> World background images are present, opening selection screen
   [INFO] <2022-04-22; 12:28:16> World background image is present, loading world background image
   [INFO] <2022-04-22; 12:28:41> Selected world background images: 1
   [INFO] <2022-04-22; 12:28:42> Loading world background image took 344ms.
   [INFO] <2022-04-22; 12:28:42> Successfully loaded world background image
   
