18:26:17; legoDBuddy; [-20, 3]
18:26:22; legoDBuddy; [-20, 3]
18:26:27; legoDBuddy; [-20, 2]
18:26:32; legoDBuddy; [-21, 2]
18:26:37; legoDBuddy; [-21, 2]
18:26:42; legoDBuddy; [-21, 2]
18:26:47; legoDBuddy; [-21, 2]
18:26:52; legoDBuddy; [-21, 2]
18:26:57; legoDBuddy; [-21, 2]
18:27:02; legoDBuddy; [-21, 2]
18:27:07; legoDBuddy; [-21, 2]
18:27:12; legoDBuddy; [-21, 2]
18:27:17; legoDBuddy; [-21, 2]
18:27:22; legoDBuddy; [-21, 2]
18:27:27; legoDBuddy; [-21, 2]
18:27:32; legoDBuddy; [-20, 2]
18:27:37; legoDBuddy; [-20, 2]
18:27:42; legoDBuddy; [-20, 2]
18:27:47; legoDBuddy; [-20, 2]
18:27:52; legoDBuddy; [-21, 2]
18:27:57; legoDBuddy; [-21, 2]
18:28:02; legoDBuddy; [-21, 2]
18:28:07; legoDBuddy; [-21, 2]
18:28:12; legoDBuddy; [-21, 2]
18:28:17; legoDBuddy; [-21, 2]
18:28:22; legoDBuddy; [-20, 2]
18:28:27; legoDBuddy; [-20, 2]
18:28:32; legoDBuddy; [-20, 2]
18:28:37; legoDBuddy; [-20, 2]
18:28:42; legoDBuddy; [-20, 2]
18:28:47; legoDBuddy; [-20, 2]
18:28:52; legoDBuddy; [-20, 2]
18:28:57; legoDBuddy; [-20, 2]
18:29:02; legoDBuddy; [-20, 2]
18:29:07; legoDBuddy; [-20, 2]
18:29:12; legoDBuddy; [-20, 2]
18:29:17; legoDBuddy; [-20, 2]
18:29:22; legoDBuddy; [-20, 2]
18:29:27; legoDBuddy; [-20, 2]
18:29:32; legoDBuddy; [-20, 2]
18:29:37; legoDBuddy; [-20, 2]
18:29:42; legoDBuddy; [-20, 2]
18:29:47; legoDBuddy; [-20, 2]
18:29:52; legoDBuddy; [-20, 2]
18:29:57; legoDBuddy; [-20, 2]
18:30:02; legoDBuddy; [-20, 2]
18:30:07; legoDBuddy; [-20, 2]
18:30:12; legoDBuddy; [-20, 2]
18:30:17; legoDBuddy; [-20, 2]
18:30:22; legoDBuddy; [-20, 2]
18:30:27; legoDBuddy; [-20, 2]
18:30:32; legoDBuddy; [-20, 2]
18:30:37; legoDBuddy; [-20, 2]
18:30:42; legoDBuddy; [-20, 2]
18:30:47; legoDBuddy; [-20, 2]
18:30:52; legoDBuddy; [-20, 2]
18:30:57; legoDBuddy; [-20, 2]
18:31:02; legoDBuddy; [-20, 3]
18:31:07; legoDBuddy; [-20, 3]
18:31:12; legoDBuddy; [-20, 2]
18:31:17; legoDBuddy; [-20, 2]
18:31:22; legoDBuddy; [-20, 2]
18:31:27; legoDBuddy; [-20, 2]
18:31:32; legoDBuddy; [-20, 2]
18:31:37; legoDBuddy; [-20, 2]
18:31:42; legoDBuddy; [-20, 2]
18:31:47; legoDBuddy; [-20, 3]
18:31:52; legoDBuddy; [-20, 2]
18:31:57; legoDBuddy; [-20, 3]
18:32:02; legoDBuddy; [-21, 2]
18:32:07; legoDBuddy; [-21, 2]
18:32:12; legoDBuddy; [-21, 2]
18:32:17; legoDBuddy; [-21, 2]
18:32:22; legoDBuddy; [-21, 2]
18:32:27; legoDBuddy; [-21, 2]
18:32:32; legoDBuddy; [-21, 2]
18:32:37; legoDBuddy; [-21, 2]
18:32:42; legoDBuddy; [-21, 2]
18:32:47; legoDBuddy; [-21, 2]
18:32:52; legoDBuddy; [-21, 2]
18:32:57; legoDBuddy; [-21, 2]
18:33:02; legoDBuddy; [-21, 2]
18:33:07; legoDBuddy; [-21, 2]
18:33:12; legoDBuddy; [-21, 2]
18:33:17; legoDBuddy; [-21, 2]
18:33:22; legoDBuddy; [-21, 2]
18:33:27; legoDBuddy; [-21, 2]
18:33:32; legoDBuddy; [-21, 2]
18:33:37; legoDBuddy; [-21, 2]
18:33:42; legoDBuddy; [-21, 2]
18:33:47; legoDBuddy; [-20, 2]
18:33:52; legoDBuddy; [-20, 2]
18:33:57; legoDBuddy; [-20, 2]
18:34:02; legoDBuddy; [-20, 2]
18:34:07; legoDBuddy; [-20, 2]
18:34:12; legoDBuddy; [-20, 2]
18:34:17; legoDBuddy; [-20, 2]
18:34:22; legoDBuddy; [-21, 2]
18:34:27; legoDBuddy; [-21, 2]
18:34:32; legoDBuddy; [-21, 2]
18:34:37; legoDBuddy; [-21, 2]
18:34:42; legoDBuddy; [-21, 2]
18:34:47; legoDBuddy; [-21, 2]
18:34:52; legoDBuddy; [-21, 2]
18:34:57; legoDBuddy; [-21, 2]
18:35:02; legoDBuddy; [-21, 2]
18:35:07; legoDBuddy; [-21, 2]
18:35:12; legoDBuddy; [-21, 2]
18:35:17; legoDBuddy; [-21, 2]
18:35:22; legoDBuddy; [-21, 2]
18:35:27; legoDBuddy; [-20, 2]
18:35:32; legoDBuddy; [-20, 2]
18:35:37; legoDBuddy; [-20, 2]
18:35:42; legoDBuddy; [-20, 2]
18:35:47; legoDBuddy; [-20, 2]
18:35:52; legoDBuddy; [-20, 2]
18:35:57; legoDBuddy; [-20, 2]
18:36:02; legoDBuddy; [-20, 2]
18:36:07; legoDBuddy; [-21, 2]
18:36:12; legoDBuddy; [-20, 3]
18:36:17; legoDBuddy; [-19, 3]
18:36:22; legoDBuddy; [-17, 1]
18:36:27; legoDBuddy; [-19, -6]
18:36:32; legoDBuddy; [-21, -13]
18:36:37; legoDBuddy; [-21, -14]
18:36:42; legoDBuddy; [-21, -14]
18:36:47; legoDBuddy; [-21, -14]
18:36:52; legoDBuddy; [-21, -14]
18:36:57; legoDBuddy; [-21, -13]
18:37:02; legoDBuddy; [-20, -11]
18:37:07; legoDBuddy; [-19, -11]
