17:49:27; legoDBuddy; [-3, -19]
17:49:32; legoDBuddy; [-3, -19]
17:49:37; legoDBuddy; [-3, -19]
17:49:42; legoDBuddy; [-3, -19]
17:49:47; legoDBuddy; [-3, -19]
17:49:52; legoDBuddy; [-3, -19]
17:49:57; legoDBuddy; [-3, -19]
17:50:02; legoDBuddy; [-3, -19]
17:50:07; legoDBuddy; [-3, -19]
17:50:12; legoDBuddy; [-3, -19]
17:50:17; legoDBuddy; [-3, -19]
17:50:22; legoDBuddy; [-3, -19]
17:50:27; legoDBuddy; [-3, -19]
17:50:32; legoDBuddy; [-3, -19]
17:50:37; legoDBuddy; [-3, -19]
17:50:42; legoDBuddy; [-3, -19]
17:50:47; legoDBuddy; [-3, -19]
17:50:52; legoDBuddy; [-3, -19]
17:50:57; legoDBuddy; [-3, -19]
17:51:02; legoDBuddy; [-3, -19]
17:51:07; legoDBuddy; [-3, -19]
17:51:12; legoDBuddy; [-3, -19]
17:51:17; legoDBuddy; [-3, -19]
17:51:22; legoDBuddy; [-3, -19]
17:51:27; legoDBuddy; [-3, -19]
17:51:32; legoDBuddy; [-3, -19]
17:51:37; legoDBuddy; [-3, -20]
17:51:42; legoDBuddy; [-3, -20]
17:51:47; legoDBuddy; [-3, -20]
17:51:52; legoDBuddy; [-3, -20]
17:51:57; legoDBuddy; [-3, -20]
17:52:02; legoDBuddy; [-3, -20]
17:52:07; legoDBuddy; [-3, -20]
17:52:12; legoDBuddy; [-3, -20]
17:52:17; legoDBuddy; [-3, -21]
17:52:22; legoDBuddy; [-3, -21]
17:52:27; legoDBuddy; [-3, -21]
17:52:32; legoDBuddy; [-3, -21]
17:52:37; legoDBuddy; [-3, -21]
17:52:42; legoDBuddy; [-3, -21]
17:52:47; legoDBuddy; [-3, -21]
17:52:52; legoDBuddy; [-3, -21]
17:52:57; legoDBuddy; [-3, -21]
17:53:02; legoDBuddy; [-3, -21]
17:53:07; legoDBuddy; [-3, -21]
17:53:12; legoDBuddy; [-3, -21]
17:53:17; legoDBuddy; [-3, -21]
17:53:22; legoDBuddy; [-3, -21]
17:53:27; legoDBuddy; [-3, -21]
17:53:32; legoDBuddy; [-3, -22]
17:53:37; legoDBuddy; [-3, -22]
17:53:42; legoDBuddy; [-3, -22]
17:53:47; legoDBuddy; [-3, -22]
17:53:52; legoDBuddy; [-3, -22]
17:53:57; legoDBuddy; [-3, -22]
17:54:02; legoDBuddy; [-3, -22]
17:54:07; legoDBuddy; [-3, -22]
17:54:12; legoDBuddy; [-3, -22]
17:54:17; legoDBuddy; [-3, -22]
17:54:22; legoDBuddy; [-3, -22]
17:54:27; legoDBuddy; [-3, -22]
17:54:32; legoDBuddy; [-3, -22]
17:54:37; legoDBuddy; [-3, -22]
17:54:42; legoDBuddy; [-3, -22]
17:54:47; legoDBuddy; [-3, -22]
17:54:52; legoDBuddy; [-3, -23]
17:54:57; legoDBuddy; [-3, -23]
17:55:02; legoDBuddy; [-3, -23]
17:55:07; legoDBuddy; [-3, -23]
17:55:12; legoDBuddy; [-3, -23]
17:55:17; legoDBuddy; [-3, -24]
17:55:22; legoDBuddy; [-3, -24]
17:55:27; legoDBuddy; [-3, -24]
17:55:32; legoDBuddy; [-3, -24]
17:55:37; legoDBuddy; [-3, -24]
17:55:42; legoDBuddy; [-3, -24]
17:55:47; legoDBuddy; [-3, -24]
17:55:52; legoDBuddy; [-3, -24]
17:55:57; legoDBuddy; [-3, -24]
17:56:02; legoDBuddy; [-3, -24]
17:56:07; legoDBuddy; [-3, -24]
17:56:12; legoDBuddy; [-3, -24]
17:56:17; legoDBuddy; [-3, -24]
17:56:22; legoDBuddy; [-3, -24]
17:56:27; legoDBuddy; [-3, -24]
17:56:32; legoDBuddy; [-3, -24]
17:56:37; legoDBuddy; [-3, -24]
17:56:42; legoDBuddy; [-3, -25]
17:56:47; legoDBuddy; [-3, -25]
17:56:52; legoDBuddy; [-3, -24]
17:56:57; legoDBuddy; [-3, -24]
17:57:02; legoDBuddy; [-3, -24]
17:57:07; legoDBuddy; [-3, -24]
17:57:12; legoDBuddy; [-3, -25]
17:57:17; legoDBuddy; [-3, -25]
17:57:22; legoDBuddy; [-3, -25]
17:57:27; legoDBuddy; [-3, -25]
17:57:32; legoDBuddy; [-3, -25]
17:57:37; legoDBuddy; [-3, -26]
17:57:42; legoDBuddy; [-3, -26]
17:57:47; legoDBuddy; [-3, -26]
17:57:52; legoDBuddy; [-3, -26]
17:57:57; legoDBuddy; [-3, -26]
17:58:02; legoDBuddy; [-3, -26]
17:58:07; legoDBuddy; [-3, -26]
17:58:12; legoDBuddy; [-3, -26]
17:58:17; legoDBuddy; [-3, -27]
17:58:22; legoDBuddy; [-3, -27]
17:58:27; legoDBuddy; [-3, -27]
17:58:32; legoDBuddy; [-3, -27]
17:58:37; legoDBuddy; [-3, -27]
17:58:42; legoDBuddy; [-3, -27]
17:58:47; legoDBuddy; [-3, -27]
17:58:52; legoDBuddy; [-3, -27]
17:58:57; legoDBuddy; [-3, -27]
17:59:02; legoDBuddy; [-3, -27]
17:59:07; legoDBuddy; [-3, -28]
17:59:12; legoDBuddy; [-3, -28]
17:59:17; legoDBuddy; [-3, -28]
17:59:22; legoDBuddy; [-3, -28]
17:59:27; legoDBuddy; [-3, -28]
17:59:32; legoDBuddy; [-3, -28]
17:59:37; legoDBuddy; [-3, -27]
17:59:42; legoDBuddy; [-3, -27]
17:59:47; legoDBuddy; [-3, -27]
17:59:52; legoDBuddy; [-3, -27]
17:59:57; legoDBuddy; [-3, -27]
18:00:02; legoDBuddy; [-3, -27]
18:00:07; legoDBuddy; [-3, -27]
18:00:12; legoDBuddy; [-3, -27]
18:00:17; legoDBuddy; [-3, -27]
18:00:22; legoDBuddy; [-3, -27]
18:00:27; legoDBuddy; [-3, -27]
18:00:32; legoDBuddy; [-3, -27]
18:00:37; legoDBuddy; [-3, -27]
18:00:42; legoDBuddy; [-3, -27]
18:00:47; legoDBuddy; [-3, -27]
18:00:52; legoDBuddy; [-3, -27]
18:00:57; legoDBuddy; [-3, -27]
18:01:02; legoDBuddy; [-3, -27]
18:01:07; legoDBuddy; [-3, -27]
18:01:12; legoDBuddy; [-3, -27]
18:01:17; legoDBuddy; [-3, -27]
18:01:22; legoDBuddy; [-3, -28]
18:01:27; legoDBuddy; [-3, -28]
18:01:32; legoDBuddy; [-3, -28]
18:01:37; legoDBuddy; [-3, -28]
18:01:42; legoDBuddy; [-3, -28]
18:01:47; legoDBuddy; [-3, -28]
18:01:52; legoDBuddy; [-3, -28]
18:01:57; legoDBuddy; [-3, -28]
18:02:02; legoDBuddy; [-3, -28]
18:02:07; legoDBuddy; [-3, -29]
18:02:12; legoDBuddy; [-3, -29]
18:02:17; legoDBuddy; [-3, -29]
18:02:22; legoDBuddy; [-3, -29]
18:02:27; legoDBuddy; [-3, -29]
18:02:32; legoDBuddy; [-3, -30]
18:02:37; legoDBuddy; [-3, -30]
