20:40:42; Anip24; [-8, -93]
20:40:47; Klyze; [202, -35]
20:40:47; Anip24; [-8, -93]
20:40:52; Klyze; [202, -36]
20:40:52; Anip24; [-8, -93]
20:40:57; Klyze; [203, -36]
20:40:57; Anip24; [-8, -93]
20:41:02; Klyze; [203, -36]
20:41:02; Anip24; [-8, -93]
20:41:07; Klyze; [203, -36]
20:41:07; Anip24; [-8, -93]
20:41:14; Klyze; [203, -36]
20:41:14; Anip24; [-8, -93]
20:41:19; Klyze; [203, -36]
20:41:19; Anip24; [-8, -93]
20:41:24; Klyze; [202, -36]
20:41:24; Anip24; [-8, -93]
20:41:29; Klyze; [202, -35]
20:41:29; Anip24; [-8, -93]
20:41:34; Klyze; [202, -34]
20:41:34; Anip24; [-8, -93]
20:41:39; Klyze; [202, -33]
20:41:39; Anip24; [-8, -93]
20:41:47; Klyze; [202, -33]
20:41:47; Anip24; [-8, -93]
20:41:51; Klyze; [202, -33]
20:41:51; Anip24; [-8, -93]
20:41:56; Klyze; [202, -31]
20:41:56; Anip24; [-8, -93]
20:42:01; Klyze; [203, -29]
20:42:01; Anip24; [-8, -93]
20:42:06; Klyze; [203, -26]
20:42:06; Anip24; [-8, -93]
20:42:11; Klyze; [203, -24]
20:42:11; Anip24; [-8, -93]
20:42:16; Klyze; [204, -23]
20:42:16; Anip24; [-10, -94]
20:42:21; Klyze; [203, -24]
20:42:21; Anip24; [-11, -94]
20:42:26; Klyze; [204, -25]
20:42:26; Anip24; [-11, -94]
20:42:31; Klyze; [207, -26]
20:42:31; Anip24; [-11, -94]
20:42:36; Klyze; [209, -26]
20:42:36; Anip24; [-11, -94]
20:42:41; Klyze; [211, -27]
20:42:41; Anip24; [-11, -94]
20:42:46; Klyze; [214, -26]
20:42:46; Anip24; [-11, -94]
20:42:51; Klyze; [216, -25]
20:42:51; Anip24; [-11, -94]
20:42:56; Klyze; [218, -24]
20:42:56; Anip24; [-11, -94]
20:43:01; Klyze; [219, -22]
20:43:01; Anip24; [-11, -94]
20:43:06; Klyze; [221, -21]
20:43:06; Anip24; [-11, -94]
20:43:11; Klyze; [221, -21]
20:43:11; Anip24; [-11, -94]
20:43:16; Klyze; [219, -23]
20:43:16; Anip24; [-11, -94]
20:43:21; Klyze; [219, -23]
20:43:21; Anip24; [-11, -94]
20:43:26; Klyze; [219, -23]
20:43:26; Anip24; [-11, -94]
20:43:31; Klyze; [219, -23]
20:43:31; Anip24; [-11, -94]
20:43:36; Klyze; [219, -23]
20:43:36; Anip24; [-11, -94]
20:43:41; Klyze; [218, -23]
20:43:41; Anip24; [-11, -94]
20:43:46; Klyze; [218, -23]
20:43:46; Anip24; [-11, -94]
20:43:51; Klyze; [218, -23]
20:43:51; Anip24; [-11, -94]
20:43:56; Klyze; [218, -23]
20:43:56; Anip24; [-11, -94]
20:44:01; Klyze; [218, -23]
20:44:01; Anip24; [-11, -94]
20:44:06; Klyze; [218, -23]
20:44:06; Anip24; [-11, -94]
20:44:11; Klyze; [218, -23]
20:44:11; Anip24; [-11, -94]
20:44:16; Klyze; [218, -23]
20:44:16; Anip24; [-11, -94]
20:44:21; Klyze; [219, -23]
20:44:21; Anip24; [-11, -94]
20:44:26; Klyze; [222, -22]
20:44:26; Anip24; [-11, -94]
20:44:33; Klyze; [224, -19]
20:44:33; Anip24; [-11, -94]
20:44:38; Klyze; [224, -19]
20:44:38; Anip24; [-11, -94]
20:44:43; Klyze; [224, -18]
20:44:43; Anip24; [-11, -94]
20:44:48; Klyze; [224, -17]
20:44:48; Anip24; [-11, -94]
20:44:53; Klyze; [224, -17]
20:44:53; Anip24; [-11, -94]
20:44:58; Klyze; [224, -17]
20:44:58; Anip24; [-11, -94]
20:45:03; Klyze; [224, -17]
20:45:03; Anip24; [-12, -94]
20:45:08; Klyze; [224, -17]
20:45:08; Anip24; [-11, -94]
20:45:13; Klyze; [224, -17]
20:45:13; Anip24; [-11, -94]
20:45:18; Klyze; [225, -17]
20:45:18; Anip24; [-12, -95]
20:45:23; Klyze; [225, -17]
20:45:23; Anip24; [-12, -95]
20:45:28; Klyze; [225, -17]
20:45:28; Anip24; [-12, -95]
20:45:33; Klyze; [225, -17]
20:45:33; Anip24; [-12, -95]
20:45:38; Klyze; [226, -17]
20:45:38; Anip24; [-11, -96]
20:45:43; Klyze; [226, -16]
20:45:43; Anip24; [-10, -97]
20:45:48; Klyze; [226, -16]
20:45:48; Anip24; [-10, -98]
20:45:53; Klyze; [226, -16]
20:45:53; Anip24; [-10, -97]
20:45:58; Klyze; [226, -15]
20:45:58; Anip24; [-10, -97]
20:46:03; Klyze; [226, -15]
20:46:03; Anip24; [-10, -97]
20:46:08; Klyze; [226, -15]
20:46:08; Anip24; [-10, -97]
20:46:13; Klyze; [226, -15]
20:46:13; Anip24; [-10, -97]
20:46:18; Klyze; [226, -15]
20:46:18; Anip24; [-10, -97]
20:46:23; Klyze; [226, -15]
20:46:23; Anip24; [-10, -97]
20:46:28; Klyze; [225, -15]
20:46:28; Anip24; [-10, -97]
20:46:33; Klyze; [224, -16]
20:46:33; Anip24; [-10, -97]
20:46:38; Klyze; [223, -16]
20:46:38; Anip24; [-10, -97]
20:46:43; Klyze; [223, -16]
20:46:43; Anip24; [-10, -97]
20:46:48; Klyze; [223, -16]
20:46:48; Anip24; [-10, -97]
20:46:53; Klyze; [222, -15]
20:46:53; Anip24; [-10, -97]
20:46:58; Klyze; [221, -14]
20:46:58; Anip24; [-10, -97]
20:47:03; Klyze; [220, -13]
20:47:03; Anip24; [-10, -97]
20:47:08; Klyze; [220, -11]
20:47:08; Anip24; [-10, -97]
20:47:13; Klyze; [220, -9]
20:47:13; Anip24; [-10, -97]
20:47:18; Klyze; [220, -8]
20:47:18; Anip24; [-10, -97]
20:47:23; Klyze; [221, -6]
20:47:23; Anip24; [-10, -97]
20:47:28; Klyze; [220, -4]
20:47:28; Anip24; [-10, -97]
20:47:33; Klyze; [220, -2]
20:47:33; Anip24; [-10, -97]
20:47:38; Klyze; [219, -1]
20:47:38; Anip24; [-10, -97]
20:47:43; Klyze; [217, 0]
20:47:43; Anip24; [-10, -97]
20:47:48; Klyze; [215, 2]
20:47:48; Anip24; [-10, -97]
20:47:53; Klyze; [215, 3]
20:47:53; Anip24; [-10, -97]
20:47:58; Klyze; [215, 5]
20:47:58; Anip24; [-10, -97]
20:48:03; Klyze; [214, 5]
20:48:03; Anip24; [-10, -97]
20:48:08; Klyze; [214, 7]
20:48:08; Anip24; [-10, -97]
20:48:13; Klyze; [213, 7]
20:48:13; Anip24; [-10, -97]
20:48:18; Klyze; [214, 5]
20:48:18; Anip24; [-10, -97]
20:48:23; Klyze; [214, 4]
20:48:23; Anip24; [-10, -97]
20:48:28; Klyze; [213, 5]
20:48:28; Anip24; [-10, -97]
20:48:33; Klyze; [213, 6]
20:48:33; Anip24; [-10, -97]
20:48:38; Klyze; [213, 6]
20:48:38; Anip24; [-10, -97]
20:48:43; Klyze; [213, 6]
20:48:43; Anip24; [-10, -97]
20:48:48; Klyze; [213, 6]
20:48:48; Anip24; [-10, -97]
20:48:53; Klyze; [212, 7]
20:48:53; Anip24; [-10, -97]
20:48:58; Klyze; [212, 9]
20:48:58; Anip24; [-10, -97]
20:49:03; Klyze; [213, 10]
20:49:03; Anip24; [-10, -97]
20:49:08; Klyze; [214, 12]
20:49:08; Anip24; [-10, -97]
20:49:13; Klyze; [216, 13]
20:49:13; Anip24; [-10, -97]
20:49:18; Klyze; [216, 13]
20:49:18; Anip24; [-10, -97]
20:49:23; Klyze; [216, 13]
20:49:23; Anip24; [-10, -97]
20:49:28; Klyze; [216, 13]
20:49:28; Anip24; [-10, -97]
20:49:33; Klyze; [216, 13]
20:49:33; Anip24; [-10, -97]
20:49:38; Klyze; [216, 13]
20:49:38; Anip24; [-10, -97]
20:49:43; Klyze; [217, 13]
20:49:43; Anip24; [-10, -97]
20:49:48; Klyze; [218, 14]
20:49:48; Anip24; [-10, -97]
20:49:53; Klyze; [220, 14]
20:49:53; Anip24; [-10, -97]
20:49:58; Klyze; [222, 15]
20:49:58; Anip24; [-10, -97]
20:50:03; Klyze; [222, 16]
20:50:03; Anip24; [-10, -97]
20:50:08; Klyze; [224, 16]
20:50:08; Anip24; [-10, -97]
20:50:13; Klyze; [224, 16]
20:50:13; Anip24; [-10, -97]
20:50:18; Klyze; [225, 17]
20:50:18; Anip24; [-10, -97]
20:50:23; Klyze; [227, 17]
20:50:23; Anip24; [-10, -97]
20:50:28; Klyze; [229, 18]
20:50:28; Anip24; [-10, -97]
20:50:33; Klyze; [230, 19]
20:50:33; Anip24; [-10, -97]
20:50:38; Klyze; [232, 21]
20:50:38; Anip24; [-10, -97]
20:50:43; Klyze; [232, 22]
20:50:43; Anip24; [-10, -97]
20:50:48; Klyze; [233, 22]
20:50:48; Anip24; [-10, -97]
20:50:54; Klyze; [234, 22]
20:50:54; Anip24; [-10, -97]
20:50:58; Klyze; [234, 23]
20:50:58; Anip24; [-10, -97]
20:51:03; Klyze; [235, 24]
20:51:03; Anip24; [-10, -97]
20:51:08; Klyze; [236, 24]
20:51:08; Anip24; [-10, -97]
20:51:13; Klyze; [238, 24]
20:51:13; Anip24; [-10, -97]
20:51:19; Klyze; [241, 25]
20:51:19; Anip24; [-10, -97]
20:51:23; Klyze; [242, 26]
